2019-05-04 00:48:12,352 DEBUG:__main__:Start pplot module
2019-05-04 02:50:59,353 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:50:59,410 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:50:59,490 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:50:59,622 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:51:00,468 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:51:00,888 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:51:01,275 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:51:01,638 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:51:02,002 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:51:02,941 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 03:08:42,121 DEBUG:__main__:Start pplot module
2019-05-04 03:08:42,627 DEBUG:__main__:Created figure 1, num 1
2019-05-04 03:08:42,682 DEBUG:__main__:Created figure 2, num 2
2019-05-04 03:08:42,761 DEBUG:__main__:Created figure 3, num 3
2019-05-04 03:08:42,891 DEBUG:__main__:Created figure 4, num 4
2019-05-04 03:08:43,720 DEBUG:__main__:Created figure 5, num 5
2019-05-04 03:08:44,131 DEBUG:__main__:Created figure 6, num 6
2019-05-04 03:08:44,517 DEBUG:__main__:Created figure 7, num 7
2019-05-04 03:08:44,891 DEBUG:__main__:Created figure 8, num 8
2019-05-04 03:08:45,260 DEBUG:__main__:Created figure 9, num 9
2019-05-04 03:08:46,206 DEBUG:__main__:Created figure Applesauce, num 10
